N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
1,셀트리온헬스케어,"66,100",600,+0.92%,"1,000","975,923","66,200","66,900","64,800","66,000","66,100","64,021","641,573","43,486","29,047","155,061",17.12,"102,495","16,276","37,397","18,068","3,621",47.85,"2,404","1,060",19,337.37,62.36,13.36,7.30,5.10,"1,298.7"
2,에코프로비엠,"359,300","11,000",+3.16%,500,"332,381","358,700","370,000","353,300","359,100","359,300","119,841","432,112","3,969","3,039","22,919",13.53,"82,350","8,547","7,990","3,317",548,N/A,467,"3,718",450,N/A,96.64,N/A,N/A,15.30,"3,900.1"
3,펄어비스,"104,500",900,+0.87%,100,"937,334","106,100","109,100","100,900","104,300","104,500","98,035","929,527","9,567","21,128","66,222",14.15,"69,201","4,888","8,972","2,603","1,573",-8.80,"1,009",780,0,4.44,133.97,16.45,11.43,8.93,"10,586.3"
4,엘앤에프,"193,700","8,100",+4.36%,500,"587,304","192,300","195,800","191,800","193,500","193,700","113,888","700,148","4,992","11,928","34,810",19.80,"67,427","3,561","4,662","2,686",15,13.68,-150,"-1,127",48,119.18,-171.87,-9.39,-3.40,8.58,"1,270.1"
5,카카오게임즈,"74,300","3,100",+4.35%,100,"759,360","72,600","74,300","72,600","74,200","74,300","55,971","548,510","44,048","65,016","77,903",10.79,"57,882","4,955","13,099","2,845",665,26.72,675,"1,302",0,90.05,57.07,12.12,7.10,3.90,"12,247.5"
6,위메이드,"103,400","2,000",+1.97%,500,"741,135","104,800","105,600","102,100","103,200","103,400","76,976","563,380","12,356","15,532","33,573",6.14,"34,715","1,262","3,234",674,-128,11.08,-184,"1,603",303,-37.60,64.50,-3.00,-5.93,11.57,"2,789.1"
7,셀트리온제약,"94,000","1,500",+1.62%,500,"140,506","94,300","94,800","91,900","94,000","94,100","13,115","151,634","1,390","8,491","36,553",7.92,"34,360","2,336","5,481","2,475",236,34.61,209,"1,071",10,60.36,87.77,7.21,4.11,10.82,"1,577.6"
8,HLB,"30,600","1,250",+4.26%,500,"732,169","30,200","31,250","30,050","30,350","30,600","22,442","585,267","20,612","29,837","106,610",13.89,"32,623",562,"7,065","1,490",-613,46.22,-887,-595,0,-25.82,-51.43,-24.10,-16.60,6.71,"2,683.9"
9,천보,"293,900","17,400",+6.29%,500,"99,726","283,000","293,900","283,000","292,900","293,900","29,001","49,900",93,"2,745","10,000",10.18,"29,390","1,555","2,607",362,301,14.91,274,"3,957",300,10.80,74.27,12.57,11.04,10.79,"4,540.8"
10,씨젠,"55,200","1,600",+2.99%,500,"702,792","54,500","55,400","54,100","55,100","55,200","38,534","607,842","40,405","101,888","52,226",15.48,"28,829","13,708","14,897","4,061","6,667",21.83,"5,376","10,274","1,000",-1.41,5.37,62.15,41.60,2.63,"4,200.0"
11,리노공업,"182,900","3,300",+1.84%,500,"77,510","182,000","183,500","178,700","182,000","182,900","14,068","82,850",483,"2,783","15,242",48.34,"27,878","2,013","3,615",242,779,18.22,554,"5,900","1,500",21.42,31.00,17.37,16.12,6.99,"4,357.2"
12,CJ ENM,"127,000","3,600",+2.92%,"5,000","118,263","124,600","128,400","124,500","127,000","127,100","14,992","73,544","4,753","1,851","21,929",21.59,"27,850","33,912","62,799","24,947","2,721",-10.52,656,"6,375","1,600",1.00,19.92,1.78,1.12,0.70,"3,299.5"
13,스튜디오드래곤,"90,900","1,400",+1.56%,500,"262,997","89,600","91,100","89,200","90,800","90,900","23,815","237,557","3,840","22,545","30,014",10.72,"27,283","5,257","7,573","1,480",491,12.18,296,"1,240",0,71.13,73.31,5.71,4.42,3.96,"3,952.4"
14,알테오젠,"59,600","3,200",+5.67%,500,"389,727","57,500","60,500","57,400","59,500","59,600","23,140","353,726","13,165","25,254","42,313",11.82,"25,219",424,"1,592",229,1,45.15,-34,-561,0,104.61,-106.24,-0.96,-2.79,15.13,816.2
15,에코프로,"92,200","4,500",+5.13%,500,"666,047","91,900","96,500","91,100","92,200","92,300","62,260","655,161","9,672","17,268","23,976",9.00,"22,106","9,468","12,832","6,945",824,34.82,542,"27,009",298,72.29,3.41,7.87,4.90,4.56,"2,616.4"
16,오스템임플란트,"142,700",0,0.00%,500,0,0,0,0,0,0,0,0,0,0,"14,286",44.21,"20,386","6,316","9,587","7,702",981,11.78,"1,035","8,185",630,128.66,17.43,78.80,11.79,7.50,"3,250.4"
17,LX세미콘,"122,800","3,200",+2.68%,500,"272,818","124,100","127,300","121,900","122,700","122,800","33,789","292,650","4,198","5,705","16,264",34.93,"19,973","11,619","7,506","2,183",942,34.00,725,"15,014","1,350",99.40,8.18,14.44,10.51,2.70,"6,451.0"
