N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
1,삼성전자,"71,200","1,700",+2.45%,100,"20,874,507","70,800","71,200","70,500","71,100","71,200","1,480,679","15,828,269","484,439","1,477,340","5,969,783",51.92,"4,250,485","2,796,048","4,266,212","1,217,212","516,339",18.07,"399,075","5,777","1,444",43.45,12.32,13.92,9.92,1.63,"33,143.6"
2,LG에너지솔루션,"417,500","7,000",+1.71%,500,"1,071,195","421,000","430,500","417,500","417,000","417,500","452,613","393,413","10,014","261,405","234,000",3.57,"976,950","14,611","199,418","123,764","-4,752",N/A,"-4,518","1,475",0,N/A,283.05,N/A,N/A,10.47,"6,778.4"
3,SK하이닉스,"120,000","2,000",+1.69%,"5,000","3,900,742","121,000","121,500","118,500","120,000","120,500","468,955","3,619,045","604,272","624,493","728,002",50.59,"873,603","319,004","711,739","192,648","50,126",18.19,"47,589","11,061","1,170",84.34,10.85,9.53,6.98,1.41,"1,398.2"
4,NAVER,"330,500","26,000",+8.54%,100,"1,492,832","319,000","337,000","316,000","330,500","331,000","492,870","559,921","58,246","54,934","164,049",54.74,"542,182","68,176","336,910","96,636","13,255",28.53,"164,776","100,400",501,9.06,3.29,106.72,64.99,2.10,"149,081.5"
5,삼성바이오로직스,"793,000","24,000",+3.12%,"2,500","84,118","784,000","795,000","775,000","790,000","793,000","66,125","38,676","9,604","6,743","66,165",10.49,"524,688","15,680","79,700","29,789","5,373",34.62,"3,936","5,878",N/A,83.52,134.91,8.21,5.47,10.64,"2,922.7"
6,삼성전자우,"63,500",300,+0.47%,100,"1,662,003","63,900","64,300","63,500","63,500","63,600","106,149","1,318,909","231,821","100,233","822,887",74.32,"522,533",N/A,N/A,N/A,N/A,N/A,N/A,"5,777",N/A,N/A,10.99,N/A,N/A,1.46,N/A
7,카카오,"100,000","7,900",+8.58%,100,"5,658,882","94,400","100,000","94,300","99,900","100,000","555,987","1,774,311","57,169","208,203","445,962",28.11,"445,962","41,568","119,540","45,262","4,559",35.40,"1,734","2,540",30,120.45,39.37,2.70,1.68,4.93,"13,881.0"
8,현대차,"169,000","1,000",+0.60%,"5,000","1,075,032","171,500","172,000","167,500","168,500","169,000","181,610","728,464","180,708","149,179","213,668",26.61,"361,099","1,039,976","2,093,442","1,330,032","23,947",-1.65,"19,246","19,734","3,000",-33.58,8.56,2.04,0.95,0.59,"4,909.5"
9,LG화학,"496,500","6,500",-1.29%,"5,000","728,742","498,000","521,000","493,500","496,500","497,000","365,305","289,591","89,346","11,174","70,592",48.79,"350,491","300,765","413,889","225,985","17,982",9.96,"6,824","38,376","10,000",117.85,12.94,2.93,1.81,1.81,"4,565.0"
10,삼성SDI,"503,000","6,000",+1.21%,"5,000","410,557","512,000","512,000","498,500","502,000","503,000","206,317","403,055","49,291","24,407","68,765",43.93,"345,886","135,532","258,332","106,365","10,676",20.00,"12,504","16,621","1,000",59.02,30.26,8.45,5.28,2.29,"3,789.7"
11,기아,"70,700","1,100",+1.58%,"5,000","1,579,333","70,700","71,100","70,200","70,600","70,700","111,536","2,039,889","148,729","178,674","405,363",34.68,"286,592","591,681","604,904","305,988","20,665",1.76,"14,876","11,038","1,000",2.83,6.41,5.05,2.57,0.84,"1,350.4"
