N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
1,삼성전자,"71,600","1,300",-1.78%,100,"9,784,295","72,700","72,700","71,200","71,500","71,600","701,228","13,232,638","4,289,200","691,353","5,969,783",52.10,"4,274,364","2,796,048","4,266,212","1,217,212","516,339",18.07,"399,075","5,777","1,444",43.45,12.41,13.92,9.92,1.64,"33,143.6"
2,LG에너지솔루션,"429,000","8,000",-1.83%,500,"204,894","433,500","436,500","428,500","429,000","429,500","88,229","460,544","41,749","11,773","234,000",3.57,"1,003,860","14,611","199,418","123,764","-4,752",N/A,"-4,518","1,475",0,N/A,290.85,N/A,N/A,10.77,"6,778.4"
3,SK하이닉스,"124,000","5,000",-3.88%,"5,000","2,275,540","127,500","128,000","124,000","124,000","124,500","285,449","3,088,097","1,056,243","509,889","728,002",50.89,"906,363","319,004","711,739","192,648","50,126",18.19,"47,589","11,061","1,170",84.34,11.26,9.53,6.98,1.46,"1,398.2"
4,삼성전자우,"65,500",600,-0.91%,100,"607,924","65,800","65,900","65,200","65,500","65,600","39,868","1,229,063","466,639","68,550","822,887",74.60,"539,814",N/A,N/A,N/A,N/A,N/A,N/A,"5,777",N/A,N/A,11.36,N/A,N/A,1.50,N/A
5,NAVER,"319,000","6,500",-2.00%,100,"210,247","325,500","326,000","317,000","318,500","319,000","67,312","580,888","43,211","19,075","164,049",55.02,"523,317","53,041","170,142","87,591","12,153",21.76,"8,450","101,024",402,5.22,3.16,15.22,5.77,2.01,"51,258.5"
6,삼성바이오로직스,"778,000","9,000",-1.14%,"2,500","23,833","788,000","794,000","773,000","777,000","778,000","18,582","45,302","4,468","1,968","66,165",10.47,"514,102","11,648","64,242","18,254","2,928",N/A,"2,410","6,130",0,N/A,126.75,N/A,N/A,10.46,"2,684.8"
7,카카오,"94,700","1,900",-1.97%,100,"1,087,769","96,200","96,300","94,500","94,700","94,800","103,415","1,738,057","213,385","51,036","445,962",28.30,"422,772","41,568","119,540","45,262","4,559",35.40,"1,734","2,540",30,120.45,37.32,2.70,1.68,4.67,"13,881.0"
8,LG화학,"535,000","23,000",-4.12%,"5,000","210,721","552,000","554,000","534,000","534,000","535,000","113,887","228,286","29,736","9,760","70,592",48.96,"376,963","300,765","413,889","225,985","17,982",9.96,"6,824","38,376","10,000",117.85,13.91,2.93,1.81,1.95,"4,565.0"
9,현대차,"173,500","4,000",-2.25%,"5,000","449,338","176,500","177,500","173,000","173,500","174,000","78,503","1,244,300","262,883","64,007","213,668",26.99,"371,783","1,039,976","2,093,442","1,330,032","23,947",-1.65,"19,246","19,734","3,000",-33.58,8.82,2.04,0.95,0.61,"4,909.5"
10,삼성SDI,"529,000","22,000",-3.99%,"5,000","197,928","548,000","548,000","529,000","532,000","533,000","105,983","149,397","37,625","13,179","68,765",44.21,"363,764","135,532","258,332","106,365","10,676",20.00,"12,504","16,621","1,000",59.02,31.83,8.45,5.28,2.41,"3,789.7"
11,기아,"73,300",500,-0.68%,"5,000","709,962","73,500","73,800","72,800","73,100","73,200","52,058","2,118,453","139,092","59,938","405,363",34.97,"297,131","591,681","604,904","305,988","20,665",1.76,"14,876","11,038","1,000",2.83,6.62,5.05,2.57,0.87,"1,350.4"
12,POSCO,"289,500","1,000",-0.34%,"5,000","140,272","291,000","293,500","288,000","289,000","289,500","40,726","361,119","20,136","18,080","87,187",53.06,"252,406","577,928","790,870","314,124","24,030",-10.21,"17,882","66,751","8,000",-37.89,4.34,3.61,2.26,0.45,"9,830.4"
13,KB금융,"57,500",900,-1.54%,"5,000","887,242","57,700","57,800","56,500","57,400","57,500","50,688","1,362,111","123,798","63,074","415,808",72.08,"239,090","556,802","6,106,722","5,673,107","46,160",18.04,"35,023","10,461","1,770",2.79,5.49,8.53,0.62,0.48,"2,028.5"
14,카카오뱅크,"48,650",50,+0.10%,"5,000","1,482,621","48,350","50,300","48,350","48,750","48,800","73,027","1,014,446","41,650","45,766","475,159",16.22,"231,165","8,042","266,500","238,530","1,226",20.94,"1,136",309,0,824.60,157.44,5.08,0.46,4.22,37.2
