N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
1,셀트리온헬스케어,"65,600","2,000",-2.96%,"1,000","694,758","67,200","68,000","65,300","65,600","65,700","46,268","1,673,870","76,009","8,502","155,061",17.27,"101,720","16,276","37,397","18,068","3,621",47.85,"2,404","1,060",19,337.37,61.89,13.36,7.30,5.06,"1,298.7"
2,에코프로비엠,"386,800","5,700",-1.45%,500,"170,609","390,000","396,700","385,900","386,800","386,900","66,521","224,631","5,260",525,"22,919",13.94,"88,652","8,547","7,990","3,317",548,N/A,467,"3,718",450,N/A,104.03,N/A,N/A,16.47,"3,900.1"
3,엘앤에프,"198,000","6,000",-2.94%,500,"346,107","201,500","203,600","197,200","198,000","198,100","69,042","362,855","11,501","5,659","34,810",20.73,"68,924","3,561","4,662","2,686",15,13.68,-150,"-1,127",48,119.18,-175.69,-9.39,-3.40,8.78,"1,270.1"
4,펄어비스,"98,500","3,100",-3.05%,100,"397,795","100,700","100,800","97,600","98,500","98,600","39,303","341,056","22,554","10,628","66,222",14.39,"65,228","4,888","8,972","2,603","1,573",-8.80,"1,009",780,0,4.44,126.28,16.45,11.43,8.42,"10,586.3"
5,카카오게임즈,"72,600","3,000",-3.97%,100,"746,349","75,000","75,000","72,300","72,500","72,600","54,628","593,207","76,522","14,930","77,697",10.94,"56,408","4,955","13,099","2,845",665,26.72,675,"1,302",0,90.05,55.76,12.12,7.10,3.82,"12,247.5"
6,위메이드,"102,200","6,400",-5.89%,500,"802,228","107,700","108,000","101,500","102,200","102,300","83,075","609,291","43,367","6,766","33,573",6.28,"34,312","1,262","3,234",674,-128,11.08,-184,"1,603",303,-37.60,63.76,-3.00,-5.93,11.43,"2,789.1"
7,셀트리온제약,"92,800","2,500",-2.62%,500,"191,628","94,400","95,400","92,000","92,800","93,000","17,957","748,392","4,692",832,"36,553",7.89,"33,921","2,336","5,481","2,475",236,34.61,209,"1,071",10,60.36,86.65,7.21,4.11,10.68,"1,577.6"
8,HLB,"30,700",600,-1.92%,500,"360,929","31,100","31,250","30,450","30,700","30,750","11,088","371,763","36,209","7,781","106,610",14.05,"32,729",562,"7,065","1,490",-613,46.22,-887,-595,0,-25.82,-51.60,-24.10,-16.60,6.73,"2,683.9"
9,천보,"283,800","9,100",-3.11%,500,"69,467","292,900","293,600","282,000","283,800","283,900","19,888","50,594","1,405",334,"10,000",10.30,"28,380","1,555","2,607",362,301,14.91,274,"3,957",300,10.80,71.72,12.57,11.04,10.42,"4,540.8"
10,CJ ENM,"128,700","2,400",-1.83%,"5,000","46,389","130,700","130,700","128,500","128,700","128,800","5,986","52,448","7,999","3,010","21,929",21.68,"28,223","33,912","62,799","24,947","2,721",-10.52,656,"6,375","1,600",1.00,20.19,1.78,1.12,0.71,"3,299.5"
11,씨젠,"52,700","1,700",-3.12%,500,"461,790","54,000","54,400","52,600","52,700","52,800","24,568","738,233","73,793","26,038","52,226",15.11,"27,523","11,252","10,946","4,482","6,762",822.66,"5,031","10,710",753,"2,915.59",4.92,125.91,77.99,2.93,"4,923.1"
12,리노공업,"179,800","1,700",-0.94%,500,"39,725","182,500","182,500","177,700","179,800","180,000","7,143","26,057",931,425,"15,242",48.30,"27,406","2,013","3,615",242,779,18.22,554,"5,900","1,500",21.42,30.47,17.37,16.12,6.87,"4,357.2"
13,스튜디오드래곤,"88,100","1,600",+1.85%,500,"217,222","87,000","89,300","85,900","88,100","88,200","19,196","55,993","6,971","6,099","30,014",10.87,"26,442","5,257","7,573","1,480",491,12.18,296,"1,240",0,71.13,71.05,5.71,4.42,3.84,"3,952.4"
14,알테오젠,"56,500","1,100",-1.91%,500,"248,882","57,200","57,500","55,200","56,500","56,600","14,012","411,693","17,189","6,196","42,313",11.93,"23,907",424,"1,592",229,1,45.15,-34,-561,0,104.61,-100.71,-0.96,-2.79,14.34,816.2
15,에코프로,"95,000",0,0.00%,500,"479,286","94,400","96,700","94,000","95,000","95,100","45,632","641,647","24,490","13,002","23,976",8.47,"22,777","9,468","12,832","6,945",824,34.82,542,"27,009",298,72.29,3.52,7.87,4.90,4.70,"2,616.4"
16,오스템임플란트,"142,700",0,0.00%,500,0,0,0,0,0,0,0,0,0,0,"14,286",44.21,"20,386","6,316","9,587","7,702",981,11.78,"1,035","8,185",630,128.66,17.43,78.80,11.79,7.50,"3,250.4"
17,LX세미콘,"121,300","5,200",-4.11%,500,"343,547","125,700","126,800","120,500","121,300","121,500","42,088","582,554","12,562","2,716","16,264",35.67,"19,729","11,619","7,506","2,183",942,34.00,725,"15,014","1,350",99.40,8.08,14.44,10.51,2.67,"6,451.0"
18,에스티팜,"100,200","3,600",-3.47%,500,"72,440","102,900","103,000","99,400","100,100","100,200","7,271","60,719","3,739","1,786","18,809",0.21,"18,846","1,241","4,456","1,488",-188,33.08,-132,206,0,29.53,486.41,-4.08,-3.35,6.14,"3,072.0"
19,동진쎄미켐,"35,650",800,-2.19%,500,"434,098","36,150","36,250","35,600","35,650","35,700","15,562","684,251","51,381","9,671","51,414",7.28,"18,329","9,378","9,608","5,228","1,263",7.15,853,"1,585",100,20.40,22.49,21.58,9.47,3.50,"1,535.5"
20,원익IPS,"36,950",550,-1.47%,500,"158,672","37,250","37,350","36,750","36,900","36,950","5,874","474,875","30,627","11,364","49,084",19.20,"18,136","10,909","10,996","4,366","1,406",63.01,978,"2,398",200,241.95,15.41,15.91,9.79,2.20,"2,670.1"
21,휴젤,"145,800","2,700",-1.82%,500,"24,828","147,900","148,800","145,600","145,800","146,000","3,631","38,050","3,840",711,"12,385",70.55,"18,058","2,110","9,563","1,623",781,3.16,453,"5,254",0,14.65,27.75,5.81,4.90,2.28,"17,786.8"
22,JYP Ent.,"50,600",0,0.00%,500,"357,581","50,300","51,100","50,000","50,600","50,700","18,084","519,763","27,455","46,989","35,497",23.08,"17,962","1,444","2,239",377,441,-7.10,296,"1,104",154,1.56,45.83,17.29,13.73,7.89,985.7
23,에스엠,"75,500",500,+0.67%,500,"385,691","74,500","76,900","74,000","75,500","75,700","29,159","400,417","17,785","21,012","23,766",14.29,"17,943","5,799","10,689","4,527",65,-11.85,-803,-459,0,-83.92,-164.49,-16.02,-7.36,3.42,"3,459.9"
24,솔브레인,"222,700","6,800",-2.96%,500,"31,972","228,600","228,600","222,600","222,600","222,700","7,159","29,173","3,123",640,"7,779",27.21,"17,323","4,701","7,177","2,093","1,040",N/A,649,"17,888","1,950",N/A,12.45,N/A,N/A,2.89,"12,225.5"
25,심텍,"52,500",700,-1.32%,500,"510,677","53,100","53,700","52,200","52,500","52,600","26,940","803,541","68,772","31,142","31,854",14.16,"16,723","12,014","7,798","4,915",897,20.12,565,"2,405",320,600.53,21.83,25.12,6.98,4.76,"1,597.7"
26,아프리카TV,"145,200","5,800",-3.84%,500,"211,350","151,000","152,300","144,400","145,200","145,300","30,981","391,873","5,324","1,826","11,495",45.65,"16,690","1,966","2,920","1,445",504,18.04,363,"5,560",650,35.57,26.12,27.56,13.93,8.30,"2,781.8"
27,위지윅스튜디오,"38,950",0,0.00%,500,"260,159","38,600","39,300","38,050","38,900","38,950","10,075","403,120","11,390","37,146","42,732",4.54,"16,644","1,102","1,789",845,18,137.47,32,-102,0,-72.11,-381.86,-2.24,2.21,7.37,281.2
28,파라다이스,"16,700",50,+0.30%,500,"509,481","16,650","16,750","16,350","16,700","16,750","8,432","518,422","123,419","141,673","90,943",4.20,"15,187","4,539","33,135","18,800",-862,-53.66,"-1,669",-803,N/A,-266.10,-20.80,-9.80,-4.92,1.22,"1,738.8"
29,메지온,"164,400","8,800",-5.08%,500,"58,961","172,500","172,500","163,500","164,400","164,500","9,808","41,111","2,263",204,"8,901",14.61,"14,633",286,756,188,-75,59.79,-138,-702,0,69.53,-234.19,-27.76,-20.56,30.90,"1,042.7"
30,동화기업,"71,800","1,600",-2.18%,500,"37,931","73,000","73,100","70,800","71,700","71,800","2,716","62,899","4,961","1,507","20,201",43.83,"14,504","7,449","15,864","8,854",668,3.83,403,"3,279",N/A,14.29,21.90,4.33,2.66,2.06,"7,951.2"
31,컴투스,"111,000","4,900",-4.23%,500,"138,365","114,600","115,100","110,900","111,000","111,100","15,528","133,307","4,940","1,315","12,866",12.37,"14,282","5,090","10,491",720,"1,141",8.46,764,"7,942","1,500",-9.40,13.98,8.49,7.44,1.09,"16,183.1"
32,에스에프에이,"39,200",350,-0.88%,500,"116,280","39,250","39,700","38,600","39,200","39,250","4,558","149,926","14,208","3,291","35,909",15.50,"14,076","15,512","17,994","5,199","1,673",-1.68,"1,186","2,849",950,-21.88,13.76,11.33,6.58,1.31,"5,702.9"
33,에이비엘바이오,"29,450",600,-2.00%,500,"1,653,356","29,900","30,150","28,800","29,400","29,450","48,597","5,342,884","29,939","34,128","47,215",4.26,"13,905",81,999,92,-596,103.17,-556,-870,0,-47.54,-33.85,-49.94,-45.80,19.62,187.7
34,엔켐,"91,000","2,500",-2.67%,500,"193,139","92,000","92,200","89,600","91,000","91,100","17,554","261,716","6,552","3,744","15,213",1.42,"13,844","1,389","1,990",793,125,57.71,5,52,0,-1.17,"1,750.00",0.67,0.30,8.45,"1,956.1"
35,대주전자재료,"88,500","3,500",-3.80%,500,"226,271","91,200","91,200","88,000","88,500","88,600","20,133","104,995","23,429","6,374","15,481",13.34,"13,700","1,545","2,060","1,188",90,32.79,53,858,50,238.74,103.15,6.12,2.64,13.23,706.6
36,티씨케이,"116,600","3,200",-2.67%,500,"28,374","119,000","119,000","115,900","116,500","116,600","3,302","35,115","2,662",423,"11,675",68.27,"13,613","2,282","3,086",381,803,33.16,605,"6,492","1,100",35.65,17.96,24.65,21.63,4.27,"4,533.2"
37,주성엔지니어링,"27,450",100,-0.36%,500,"946,014","27,300","27,950","27,100","27,450","27,500","26,171","1,386,123","50,791","40,359","48,249",12.75,"13,244","1,185","5,492","3,218",-250,-53.44,-82,"1,309",0,-185.99,20.97,-3.53,-1.65,4.72,746.4
38,고영,"18,850",350,-1.82%,100,"193,162","18,850","19,100","18,700","18,800","18,850","3,636","282,729","32,846","14,601","68,655",64.67,"12,941","1,795","3,026",565,158,-19.15,92,439,110,-52.47,42.94,3.74,3.01,4.65,"3,696.4"
39,케이엠더블유,"32,300",300,+0.94%,500,"180,047","32,000","32,700","31,750","32,300","32,350","5,817","108,074","22,064","11,677","39,821",3.84,"12,862","3,385","3,878","1,438",327,-50.43,266,106,N/A,-76.29,304.72,11.54,6.54,5.04,"1,109.0"
40,현대바이오,"32,950","3,550",-9.73%,500,"5,097,167","35,550","36,050","32,150","32,900","32,950","172,648","7,635,784","95,453","37,000","38,677",6.40,"12,744",125,923,411,-45,-58.41,-86,-371,0,-277.67,-88.81,-17.53,-11.07,18.48,239.0
41,HK이노엔,"43,800",300,-0.68%,500,"119,403","44,200","44,400","43,300","43,800","43,850","5,226","106,725","12,331","4,447","28,904",3.25,"12,660","5,984","16,147","8,714",870,10.84,279,"1,206",0,20.12,36.32,3.83,1.72,1.11,"1,499.0"
42,신라젠,"12,100",0,0.00%,500,0,0,0,0,0,0,0,0,0,0,"102,867",2.25,"12,447",17,474,245,-342,-81.59,-478,-170,0,41.51,-71.18,-114.04,-81.63,10.78,-80.8
43,이오테크닉스,"100,400","1,200",-1.18%,500,"103,564","101,600","101,600","99,200","100,400","100,500","10,374","61,687","1,734","1,737","12,320",15.92,"12,369","3,251","4,812",713,385,57.47,216,"3,951",300,442.04,25.41,5.38,4.65,2.63,"6,557.7"
44,와이지엔터테인먼트,"65,500",800,+1.24%,500,"283,228","64,400","65,700","63,800","65,400","65,500","18,438","423,638","5,271","17,091","18,446",7.00,"12,082","2,553","5,428","1,203",107,0.66,32,343,0,100.69,190.96,2.74,0.60,3.11,"3,657.0"
45,클래시스,"18,400",100,+0.55%,100,"388,267","18,300","18,650","18,150","18,350","18,400","7,144","535,310","31,871","32,127","64,777",5.11,"11,919",765,"1,375",138,406,-5.76,382,732,60,-2.64,25.14,36.06,30.39,7.73,"1,812.9"
