stock_no, com_name, owner_capital, roe_3yr, stock_count, stock_current_price, stock_value_price,expected_rise_percent, evevitada, url
373220,LG에너지솔루션,6879600000000.0,0.0,234000000.0,420000,0,-100.0,-284.71,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=373220
404990,신한서부티엔디리츠,139800000000.0,-0.25,55955884.0,4960,-69,-101.39112903225806,66.81,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=404990
396690,미래에셋글로벌리츠,0,0.0,29060000.0,5680,0,-100.0,0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=396690
402340,SK스퀘어,0,0.0,141467571.0,57300,0,-100.0,0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=402340
400760,NH올원리츠,46200000000.0,-1.86,42200000.0,5210,-225,-104.31861804222649,57.36,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=400760
377300,카카오페이,182200000000.0,-39.47666666666667,131949138.0,144000,-6010,-104.17361111111111,-3331.17,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=377300
381970,케이카,171000000000.0,9.86,48086533.0,30400,3866,-87.28289473684211,29.55,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=381970
329180,현대중공업,5360800000000.0,-7.86,88773116.0,109500,-52332,-147.79178082191783,43.59,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=329180
395400,SK리츠,776200000000.0,0.0,155020532.0,6230,0,-100.0,128.73,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=395400
271940,일진하이솔루스,53200000000.0,31.06,36313190.0,40700,5017,-87.67321867321868,79.1,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=271940
377190,디앤디플랫폼리츠,316200000000.0,0.0,64400000.0,5400,0,-100.0,86.37,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=377190
139990,아주스틸,125100000000.0,9.493333333333334,26452189.0,15500,4950,-68.06451612903226,13.01,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=139990
089860,롯데렌탈,704100000000.0,5.828333333333333,36634063.0,38200,12351,-67.66753926701571,4.74,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=089860
372910,한컴라이프케어,34800000000.0,-136.34333333333333,27674406.0,6490,-18903,-391.2634822804314,4.46,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=372910
259960,크래프톤,1214100000000.0,74.31,49072045.0,284000,202703,-28.62570422535211,16.2,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=259960
178920,PI첨단소재,282900000000.0,12.426666666666668,29366322.0,43000,13199,-69.30465116279069,15.3,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=178920
323410,카카오뱅크,2797000000000.0,2.4766666666666666,475159237.0,47750,1607,-96.63455497382199,136.93,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=323410
137310,에스디바이오센서,748000000000.0,71.06499999999998,103271353.0,53000,56751,7.077358490566038,6.74,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=137310
097520,엠씨넥스,252900000000.0,28.31833333333333,17974432.0,45900,43929,-4.294117647058823,7.49,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=097520
383800,LX홀딩스,0,0.0,76280690.0,9820,0,-100.0,0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=383800
383220,F&F,0,0.0,7661415.0,843000,0,-100.0,0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=383220
380440,엔에이치스팩19호,0,0.0,51290000.0,2075,0,-100.0,0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=380440
361610,SK아이이테크놀로지,1208300000000.0,11.0,71297592.0,120500,20553,-82.94356846473029,44.47,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=361610
302440,SK바이오사이언스,263800000000.0,10.996666666666668,76500000.0,140500,4181,-97.02419928825623,196.57,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=302440
378850,화승알앤에이,0,0.0,18993623.0,4385,0,-100.0,0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=378850
950210,프레스티지바이오파마,575000000000.0,-2.07,60096155.0,14100,-2184,-115.48936170212767,-23.7,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=950210
248070,솔루엠,116700000000.0,42.21333333333333,50005551.0,22600,10862,-51.93805309734514,14.72,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=248070
375500,DL이앤씨,0,0.0,19358738.0,123500,0,-100.0,0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=375500
365550,ESR켄달스퀘어리츠,700900000000.0,1.2733333333333334,213089000.0,6200,462,-92.54838709677419,88.96,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=365550
009900,명신산업,184000000000.0,-26.98,52470133.0,23550,-10431,-144.29299363057325,15.12,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=009900
244920,에이플러스에셋,94100000000.0,29.7,22607693.0,7210,13630,89.04299583911235,3.34,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=244920
339770,교촌에프앤비,153500000000.0,28.166666666666668,24982540.0,14550,19081,31.140893470790378,6.9,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=339770
352820,하이브,1195300000000.0,27.169999999999998,41353387.0,286500,86586,-69.77801047120418,61.17,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=352820
363280,티와이홀딩스,1091400000000.0,0.0,50929268.0,26450,0,-100.0,142.16,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=363280
357120,코람코에너지리츠,361400000000.0,4.656666666666666,69620000.0,6540,2665,-59.25076452599388,28.2,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=357120
348950,제이알글로벌리츠,814900000000.0,0.0,165600000.0,5380,0,-100.0,50.56,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=348950
357250,미래에셋맵스리츠,93400000000.0,0.8233333333333333,20100000.0,4875,422,-91.34358974358975,50.49,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=357250
