stock_no, com_name, owner_capital, roe_3yr, stock_count, stock_current_price, stock_value_price,expected_rise_percent, url, evevitda
405350,IBKS제17호스팩,0,0.0,2720000.0,2240,0,-100.0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=405350,0
211050,인카금융서비스,25100000000.0,58.03,5137980.0,13000,31256,140.43076923076922,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=211050,2.76
137080,나래나노텍,45900000000.0,4.95,11059422.0,13300,2265,-82.96992481203007,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=137080,23.53
136410,아셈스,27700000000.0,10.62,11019106.0,11550,2943,-74.51948051948052,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=136410,21.62
276040,스코넥,-1800000000.0,74.13,12072009.0,22500,-1219,-105.41777777777779,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=276040,-82.9
377330,이지트로닉스,19600000000.0,17.606666666666666,7965454.0,19150,4777,-75.05483028720626,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=377330,47.5
179530,애드바이오텍,9300000000.0,0.0,9140444.0,5000,0,-100.0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=179530,-61.46
102370,케이옥션,24300000000.0,-1.9733333333333334,8909420.0,24000,-593,-102.47083333333333,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=102370,90.74
404950,디비금융스팩10호,0,0.0,5840000.0,2110,0,-100.0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=404950,0
353590,오토앤,4500000000.0,146.73,12875570.0,13700,5654,-58.72992700729927,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=353590,30.27
200350,래몽래인,23700000000.0,28.451666666666668,6248519.0,19900,11898,-40.211055276381906,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=200350,30.15
400560,하나금융20호스팩,0,0.0,3050000.0,2285,0,-100.0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=400560,0
