N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"74,200",100,-0.13%,100,"4,429,579","5,969,783",52.23,"10,449,584",14.38,9.99,
2,LG에너지솔루션,"453,000","1,500",-0.33%,500,"1,060,020","234,000",3.82,"319,030",307.12,N/A,
3,SK하이닉스,"130,000","1,500",-1.14%,"5,000","946,403","728,002",50.86,"4,032,778",11.75,9.53,
4,삼성전자우,"67,200",200,-0.30%,100,"552,980","822,887",74.78,"470,353",13.03,N/A,
5,NAVER,"318,000",0,0.00%,100,"521,676","164,049",55.02,"548,501",3.15,15.22,
6,삼성바이오로직스,"767,000","10,000",+1.32%,"2,500","507,486","66,165",10.50,"33,045",123.63,N/A,
7,LG화학,"616,000","13,000",-2.07%,"5,000","434,849","70,592",49.54,"313,861",16.05,2.93,
8,카카오,"93,200","1,800",+1.97%,100,"415,637","445,962",28.16,"2,840,066",36.69,2.70,
9,현대차,"185,000","1,500",+0.82%,"5,000","395,286","213,668",27.40,"460,648",9.37,2.04,
10,삼성SDI,"553,000","2,000",-0.36%,"5,000","380,268","68,765",44.16,"153,685",34.68,4.54,
11,기아,"78,900",200,+0.25%,"5,000","319,832","405,363",35.30,"816,621",7.15,5.05,
12,KB금융,"63,300",400,-0.63%,"5,000","263,206","415,808",72.10,"782,041",6.05,8.53,
13,POSCO,"281,000",500,-0.18%,"5,000","244,995","87,187",52.86,"189,109",4.21,3.61,
14,카카오뱅크,"48,900",450,-0.91%,"5,000","232,353","475,159",16.14,"1,317,531",158.25,5.08,
15,셀트리온,"161,500","4,000",+2.54%,"1,000","222,798","137,956",20.51,"413,697",41.09,16.68,
16,현대모비스,"228,500",0,0.00%,"5,000","216,100","94,573",34.28,"157,559",9.20,4.66,
17,신한지주,"41,250",0,0.00%,"5,000","213,097","516,600",62.14,"804,488",5.48,8.20,
18,삼성물산,"111,500","1,000",-0.89%,100,"208,379","186,887",15.84,"184,720",12.69,3.81,
19,LG전자,"124,500","1,000",+0.81%,"5,000","203,742","163,648",28.48,"672,431",17.96,13.23,
20,SK이노베이션,"208,500","2,000",-0.95%,"5,000","192,791","92,466",23.54,"246,758","-6,132.35",-13.58,
21,카카오페이,"140,500",500,+0.36%,500,"185,389","131,949",42.67,"266,287",-699.00,-17.97,
22,SK,"225,500",0,0.00%,200,"167,207","74,149",21.95,"93,103",26.35,1.11,
23,LG생활건강,"1,019,000","21,000",-2.02%,"5,000","159,149","15,618",42.36,"44,112",21.21,17.92,
24,하나금융지주,"51,400",700,-1.34%,"5,000","154,324","300,242",71.17,"738,858",4.80,8.96,
25,HMM,"30,100",500,+1.69%,"5,000","147,201","489,039",11.08,"12,337,454",3.79,8.93,
26,한국전력,"22,600",0,0.00%,"5,000","145,084","641,964",14.55,"1,431,608",-13.32,2.91,
27,크래프톤,"273,500",500,-0.18%,100,"133,939","48,972",29.51,"177,410",21.44,61.86,
28,삼성생명,"63,600",800,-1.24%,500,"127,200","200,000",12.79,"161,014",8.13,3.53,
29,삼성전기,"167,500",500,+0.30%,"5,000","125,112","74,694",29.77,"391,011",12.88,10.92,
30,LG,"77,200",0,0.00%,"5,000","121,436","157,301",36.27,"215,112",5.09,7.50,
31,SK텔레콤,"54,700",300,-0.55%,100,"119,702","218,833",45.05,"300,069",8.49,6.44,
32,SK바이오사이언스,"151,000",500,+0.33%,500,"115,515","76,500",5.22,"248,982",58.14,13.25,
33,하이브,"275,500","13,000",+4.95%,500,"113,929","41,353",15.79,"475,213",98.01,12.52,
34,아모레퍼시픽,"191,000","1,000",+0.53%,500,"111,721","58,493",30.14,"171,898",73.66,0.78,
35,KT&G,"80,500",300,-0.37%,"5,000","110,520","137,292",36.37,"189,265",9.28,13.22,
36,삼성에스디에스,"140,500",0,0.00%,500,"108,716","77,378",11.39,"63,320",16.00,6.71,
37,엔씨소프트,"484,000","8,500",-1.73%,500,"106,257","21,954",43.90,"245,623",29.88,20.83,
38,우리금융지주,"14,500",350,-2.36%,"5,000","105,569","728,061",33.93,"1,964,377",4.43,5.87,
39,대한항공,"30,050",150,+0.50%,"5,000","104,520","347,821",12.72,"1,307,052",14.11,-7.22,
40,고려아연,"530,000","5,000",-0.93%,"5,000","100,011","18,870",18.35,"17,680",13.25,8.37,
41,삼성화재,"211,000","5,000",-2.31%,500,"99,961","47,375",48.71,"65,177",9.12,4.96,
42,두산중공업,"18,900",400,+2.16%,"5,000","98,702","522,230",7.84,"7,191,231",56.93,-37.20,
43,S-Oil,"82,200",500,-0.60%,"2,500","92,543","112,583",77.85,"268,702",7.91,-13.07,
44,포스코케미칼,"115,000","1,000",-0.86%,500,"89,083","77,463",6.39,"190,262",64.21,2.96,
45,현대중공업,"99,900",700,+0.71%,"5,000","88,684","88,773",2.15,"127,173",-10.90,-7.86,
46,넷마블,"101,500",500,+0.50%,100,"87,243","85,954",22.90,"143,136",37.54,6.35,
47,SK아이이테크놀로지,"121,000","1,500",-1.22%,"1,000","86,270","71,298",10.77,"192,554",79.55,11.00,
48,KT,"32,050",50,-0.16%,"5,000","83,686","261,112",39.54,"588,271",8.19,4.76,
49,기업은행,"11,150",0,0.00%,"5,000","82,990","744,301",13.95,"1,033,285",4.13,6.44,
50,SK스퀘어,"55,800","1,600",+2.95%,100,"78,939","141,468",38.05,"784,092",N/A,N/A,
51,롯데케미칼,"229,000","1,500",+0.66%,"5,000","78,491","34,275",24.93,"130,508",5.76,1.22,
52,LG이노텍,"319,500","5,500",-1.69%,"5,000","75,616","23,667",23.17,"400,358",10.12,10.20,
53,LG디스플레이,"19,150",50,-0.26%,"5,000","68,522","357,816",17.45,"1,508,989",4.34,-0.79,
54,현대글로비스,"173,000",500,+0.29%,500,"64,875","37,500",42.92,"52,342",9.33,12.45,
55,F&F,"826,000","17,000",-2.02%,500,"63,283","7,661",14.63,"15,304",N/A,N/A,
56,한화솔루션,"32,850",100,-0.30%,"5,000","62,835","191,278",18.23,"700,993",8.40,5.30,
57,한온시스템,"11,700",400,+3.54%,100,"62,455","533,800",17.57,"695,379",21.35,5.09,
58,SK바이오팜,"79,200",300,+0.38%,500,"62,024","78,313",5.67,"94,638",-153.49,-135.18,
59,한국조선해양,"84,000",0,0.00%,"5,000","59,449","70,773",19.76,"97,659",-4.61,-7.42,
60,강원랜드,"26,850",500,+1.90%,500,"57,443","213,940",18.77,"1,734,187",-174.35,-7.92,
61,LG유플러스,"13,150",150,-1.13%,"5,000","57,414","436,611",35.80,"954,336",14.63,6.46,
62,CJ제일제당,"379,500",500,-0.13%,"5,000","57,131","15,054",22.39,"26,790",12.94,13.50,
63,맥쿼리인프라,"13,800",50,+0.36%,0,"55,869","404,846",14.06,"436,568",N/A,N/A,
64,KODEX 200,"37,300",25,+0.07%,0,"55,502","148,800",11.62,"2,755,459",N/A,N/A,
65,미래에셋증권,"8,950",20,+0.22%,"5,000","55,071","615,316",13.70,"718,453",6.12,8.94,
66,에스디바이오센서,"53,000","1,300",-2.39%,500,"54,734","103,271",10.25,"902,920",8.03,139.97,
67,현대제철,"39,850",100,-0.25%,"5,000","53,178","133,446",20.80,"270,031",6.10,-2.59,
68,코웨이,"71,500",0,0.00%,500,"52,767","73,800",60.87,"113,237",11.84,31.51,
69,메리츠금융지주,"38,150",250,-0.65%,500,"51,125","134,011",9.01,"228,577",7.19,16.06,
70,SKC,"134,500","1,500",-1.10%,"5,000","50,933","37,868",16.69,"62,859",27.40,2.21,
71,메리츠화재,"41,800",0,0.00%,500,"50,421","120,625",12.75,"210,952",8.67,16.91,
72,삼성중공업,"5,560",10,+0.18%,"1,000","48,928","880,000",13.86,"1,912,745",-2.27,-33.06,
73,금호석유,"160,500","2,500",+1.58%,"5,000","48,625","30,296",19.77,"160,337",2.87,20.18,
74,현대건설,"42,650",600,+1.43%,"5,000","47,493","111,356",23.14,"552,261",28.36,1.84,
75,삼성엔지니어링,"23,250",350,-1.48%,"5,000","45,570","196,000",36.50,"676,388",12.87,17.32,
76,한국금융지주,"79,300",400,-0.50%,"5,000","44,191","55,726",34.75,"69,576",2.71,16.27,
77,한국타이어앤테크놀로지,"35,050",150,+0.43%,500,"43,418","123,875",41.18,"201,371",6.57,5.12,
78,일진머티리얼즈,"93,400",0,0.00%,500,"43,068","46,111",13.08,"175,722",67.78,7.23,
79,DB손해보험,"60,000","2,000",-3.23%,500,"42,480","70,800",43.10,"221,658",5.33,9.08,
80,메리츠증권,"6,080",20,-0.33%,"1,000","41,449","681,731",13.19,"1,062,057",6.17,13.08,
81,유한양행,"56,600",100,+0.18%,"1,000","41,449","73,231",17.33,"101,455",42.91,11.06,
82,아모레G,"49,050",450,+0.93%,500,"40,446","82,458",15.97,"167,036",27.54,0.31,
83,오리온,"100,500","1,200",+1.21%,500,"39,734","39,536",37.11,"50,726",16.71,15.50,
84,현대중공업지주,"49,550",50,-0.10%,"1,000","39,141","78,993",16.67,"88,223",-11.49,-8.12,
85,쌍용C&E,"7,670",20,+0.26%,100,"38,646","503,860",3.19,"294,109",18.75,7.92,
86,삼성증권,"42,600",200,+0.47%,"5,000","38,042","89,300",30.04,"192,720",4.01,9.89,
